,ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication
263,10264,790,0.9509191792383628,111013,36,6,4,19100,1,6,Rent,Masters,Widowed,29,210100.0
264,10265,554,0.5223320998743571,62723,26,7,11,19378,15,8,Rent,Masters,Widowed,25,116268.0
265,10266,629,0.18423071876959896,146446,79,3,1,12850,2,3,Rent,Bachelor,Widowed,10,89950.0
266,10267,602,0.036339846955347754,73493,30,9,9,9299,5,26,Mortgage,High School,Divorced,23,195279.0
267,10268,668,0.6065325507608454,189931,42,9,12,16179,9,4,Mortgage,Masters,Single,9,258864.0
268,10269,462,0.005216648384464229,105162,49,4,1,8531,17,7,Mortgage,High School,Divorced,12,119434.0
269,10270,467,0.24673234464163984,103150,86,2,16,12440,1,17,Rent,High School,Widowed,7,124400.0
270,10271,305,0.21558795842414957,195534,41,6,1,17979,9,9,Mortgage,Masters,Single,3,71916.0
271,10272,681,0.40682873115867446,192405,66,6,4,16605,18,9,Rent,Masters,Widowed,29,348705.0
272,10273,645,0.17937713677779255,180025,87,3,8,2598,7,0,Rent,High School,Single,2,7794.0
273,10274,422,0.16342064079471785,169317,76,3,2,5447,9,6,Rent,High School,Divorced,4,70811.0
274,10275,620,0.5660500594918558,156188,30,6,5,19669,13,11,Mortgage,High School,Divorced,12,393380.0
275,10276,753,0.0903068722426763,106445,62,8,8,15416,17,14,Rent,High School,Widowed,29,308320.0
276,10277,592,0.27902276963899564,110757,63,4,5,16964,9,3,Own,High School,Widowed,12,169640.0
277,10278,567,0.25592464045436625,85410,50,9,8,4428,1,3,Mortgage,Masters,Widowed,19,44280.0
278,10279,798,0.40103973828441375,145994,79,5,13,4744,14,16,Rent,Masters,Widowed,24,71160.0
279,10280,538,0.3351492976920408,185890,33,3,14,11931,5,20,Rent,Masters,Divorced,19,71586.0
280,10281,456,0.6654825385766813,24035,62,8,12,13943,12,2,Mortgage,Masters,Widowed,17,41829.0
281,10282,832,0.1479096541977698,75171,48,1,4,17878,3,9,Mortgage,Masters,Widowed,2,250292.0
282,10283,744,0.054451361336857684,105274,48,8,19,11913,14,0,Mortgage,Bachelor,Widowed,10,131043.0
283,10284,701,0.4191700712727865,154105,58,1,11,9667,18,20,Rent,High School,Widowed,12,106337.0
284,10285,764,0.07824035392683848,55324,47,2,1,5587,0,13,Rent,Masters,Widowed,9,61457.0
285,10286,653,0.2319556739092905,94842,19,8,7,6384,0,9,Own,High School,Widowed,18,31920.0
286,10287,636,0.8734768729600114,170582,25,9,4,10600,7,14,Own,Masters,Widowed,29,190800.0
287,10288,433,0.16880870511999357,82115,41,1,2,4215,0,2,Rent,High School,Widowed,9,88515.0
288,10289,672,0.4376393147037211,107626,73,7,11,2338,7,29,Rent,High School,Widowed,16,37408.0
289,10290,628,0.5035325362823829,146487,44,6,8,15976,8,3,Mortgage,High School,Widowed,24,351472.0
290,10291,639,0.2644662232566083,189286,83,6,9,13930,10,18,Rent,PhD,Widowed,18,222880.0
291,10292,809,0.13385887187148549,91998,71,9,13,2522,19,8,Mortgage,Masters,Widowed,24,7566.0
292,10293,844,0.3598776358162916,90596,30,3,1,9498,6,3,Mortgage,PhD,Widowed,18,18996.0
293,10294,444,0.17550003158258964,119635,31,8,18,9316,15,9,Rent,Masters,Single,6,74528.0
294,10295,738,0.080570550663289,182961,67,3,19,9519,0,15,Own,High School,Widowed,25,152304.0
295,10296,840,0.5544802484403546,127341,54,6,14,1956,17,9,Rent,Masters,Widowed,7,5868.0
296,10297,634,0.05054558284337818,121007,39,1,18,8216,8,9,Rent,Masters,Married,22,156104.0
297,10298,687,0.700546388159266,163393,47,3,14,17745,0,19,Rent,Masters,Widowed,2,266175.0
298,10299,634,0.2090041349227677,51862,81,3,9,19764,4,12,Rent,High School,Widowed,11,158112.0
299,10300,637,0.2429698898006356,77744,40,0,16,12342,14,26,Rent,High School,Widowed,12,123420.0
300,10301,642,0.2354277362720596,194192,30,8,1,19938,4,14,Own,High School,Widowed,3,259194.0
301,10302,840,0.5949714265260786,107324,54,9,0,6005,9,19,Rent,High School,Widowed,18,30025.0
302,10303,416,0.2425829784295629,195093,37,9,15,14806,4,9,Rent,Masters,Married,7,103642.0
303,10304,635,0.08565926086863751,167079,30,6,3,17219,2,27,Own,Masters,Single,18,206628.0
304,10305,555,0.16912141888305443,62014,60,8,9,10136,6,19,Rent,Bachelor,Widowed,1,212856.0
305,10306,732,0.5293984852353579,48768,70,8,0,7419,1,6,Own,High School,Divorced,2,81609.0
306,10307,337,0.13140028072582322,57425,31,3,1,9737,2,0,Own,Masters,Widowed,22,194740.0
307,10308,843,0.4452381349989597,140410,22,2,13,4778,15,6,Mortgage,High School,Widowed,18,76448.0
308,10309,550,0.5062362143036565,34724,19,2,2,5521,18,16,Own,High School,Widowed,29,49689.0
309,10310,305,0.12824723685884187,27893,58,5,13,18253,13,11,Rent,Masters,Widowed,0,365060.0
310,10311,467,0.3633949091779618,110470,63,8,13,8012,14,11,Mortgage,High School,Widowed,16,144216.0
311,10312,711,0.6854185459638037,118712,37,5,8,9834,2,23,Mortgage,High School,Widowed,12,137676.0
312,10313,819,0.5280978502324892,111045,60,1,7,8794,1,9,Mortgage,Masters,Widowed,29,70352.0
313,10314,805,0.8401936117582732,160635,53,8,2,3170,5,7,Rent,Masters,Divorced,5,34870.0
314,10315,633,0.3282635270661861,70124,28,5,10,10999,16,25,Rent,Masters,Widowed,14,87992.0
315,10316,839,0.13125557439627578,187702,26,5,0,7869,8,9,Rent,High School,Widowed,5,62952.0
316,10317,784,0.3340513857630176,115060,51,7,4,14791,8,5,Rent,Masters,Widowed,2,103537.0
317,10318,575,0.1360806978430077,41682,57,9,8,7314,5,19,Rent,Masters,Widowed,26,138966.0
318,10319,699,0.3393965830051342,67016,60,0,16,19876,17,5,Rent,Masters,Widowed,8,318016.0
319,10320,622,0.4356757301904979,37232,36,7,8,11705,15,26,Rent,High School,Widowed,22,35115.0
320,10321,327,0.0554513622156525,70925,34,9,12,12727,8,21,Rent,Masters,Divorced,20,63635.0
321,10322,824,0.22499433397728197,170436,75,6,8,14624,0,22,Mortgage,PhD,Widowed,7,43872.0
322,10323,489,0.3531166693764014,158443,22,3,1,2325,2,24,Rent,Masters,Widowed,6,20925.0
323,10324,818,0.19940957496978373,140448,44,5,7,8848,0,20,Rent,Bachelor,Widowed,10,159264.0
324,10325,589,0.32436498833509697,55491,63,9,2,18281,3,12,Mortgage,Masters,Divorced,11,91405.0
325,10326,595,0.3843940142978892,159570,86,9,13,2176,9,11,Own,High School,Widowed,1,8704.0
326,10327,320,0.06351541224761215,25075,38,5,7,1196,6,19,Mortgage,High School,Divorced,18,10764.0
327,10328,776,0.4205209466448786,187973,30,7,4,5794,12,2,Own,High School,Single,8,34764.0
328,10329,693,0.028939715238427977,73684,59,4,0,12216,2,20,Mortgage,Bachelor,Widowed,9,219888.0
329,10330,673,0.11561967696672659,103261,60,6,14,15450,12,23,Mortgage,PhD,Widowed,23,216300.0
330,10331,752,0.9107685013972163,161136,83,6,9,2093,0,8,Rent,High School,Widowed,14,8372.0
331,10332,812,0.1439456911962903,179676,22,6,9,4680,16,3,Own,High School,Widowed,21,9360.0
332,10333,717,0.21335179512757851,168375,26,7,10,12300,3,12,Mortgage,Masters,Divorced,1,73800.0
333,10334,757,0.29500096141857324,64446,41,6,17,17197,0,25,Rent,Masters,Divorced,6,103182.0
334,10335,689,0.13107571715777322,189065,46,6,5,16745,2,2,Own,High School,Widowed,17,284665.0
335,10336,361,0.45801320067099693,73719,34,9,8,12459,14,8,Mortgage,Masters,Single,13,186885.0
336,10337,689,0.7491085505222805,91763,41,0,14,18966,2,13,Rent,Masters,Widowed,26,94830.0
337,10338,339,0.31319869258776456,49391,31,2,6,12798,16,2,Rent,Masters,Widowed,23,38394.0
338,10339,594,0.20315092061102813,186173,71,4,12,2905,10,22,Rent,High School,Widowed,15,40670.0
339,10340,665,0.30914676891188986,67639,48,8,0,17608,11,3,Rent,High School,Widowed,27,211296.0
340,10341,358,0.11938967873535022,20082,27,9,11,9768,8,3,Mortgage,Masters,Single,28,68376.0
341,10342,746,0.624298725215921,131712,26,7,4,13761,12,22,Mortgage,High School,Widowed,15,55044.0
342,10343,360,0.3694259521617492,26986,35,1,16,15809,15,6,Own,Masters,Widowed,20,189708.0
343,10344,662,0.9697327565869647,82873,60,5,12,16372,3,0,Rent,Masters,Widowed,29,180092.0
344,10345,788,0.132086510010329,164509,48,9,3,18185,3,27,Own,High School,Divorced,10,327330.0
345,10346,733,0.6008485431731359,47358,82,3,4,7755,18,0,Rent,Masters,Widowed,0,131835.0
346,10347,754,0.06302931688776447,93965,60,5,10,6016,14,6,Mortgage,High School,Widowed,25,102272.0
347,10348,752,0.3465111336855802,167417,29,7,14,14672,7,16,Rent,Masters,Widowed,12,176064.0
348,10349,357,0.3157768738939535,42046,72,7,2,17632,1,4,Rent,Masters,Married,19,211584.0
349,10350,793,0.009782051134512915,114747,22,8,14,9010,14,8,Mortgage,Masters,Widowed,7,189210.0
350,10351,592,0.3133704168418351,134371,87,3,3,4965,10,3,Rent,High School,Widowed,24,89370.0
351,10352,489,0.7347852103535717,166106,29,5,1,12358,1,5,Own,High School,Widowed,13,271876.0
352,10353,610,0.15584796242083054,198521,58,8,2,6973,10,27,Own,High School,Widowed,14,55784.0
353,10354,705,0.9545009762329433,140452,25,8,6,1230,13,3,Mortgage,Masters,Widowed,3,18450.0
354,10355,403,0.27241083265621757,55397,83,9,5,17172,13,12,Rent,Masters,Widowed,24,206064.0
355,10356,819,0.08868054575177065,42238,22,7,16,7821,8,9,Mortgage,Masters,Widowed,25,39105.0
356,10357,706,0.13563723321194,85407,42,3,18,6991,6,13,Rent,Masters,Divorced,25,55928.0
357,10358,837,0.07336325185992332,126944,81,0,8,9522,12,24,Mortgage,High School,Widowed,12,47610.0
358,10359,677,0.05506061141896812,153520,62,2,0,4286,10,7,Own,High School,Widowed,26,77148.0
359,10360,461,0.146540418776271,146019,80,7,10,12011,16,10,Rent,Masters,Widowed,2,252231.0
360,10361,537,0.9423241086041325,153501,31,4,9,6195,0,6,Rent,Masters,Widowed,12,105315.0
361,10362,846,0.3581438023186625,119864,83,2,15,10921,3,8,Mortgage,High School,Widowed,19,229341.0
362,10363,359,0.33985282980183895,38414,64,1,3,12573,4,1,Own,High School,Widowed,18,150876.0
363,10364,788,0.2717280667206765,69272,49,0,13,10955,19,2,Rent,Bachelor,Widowed,15,175280.0
364,10365,775,0.0690079143887099,105451,80,5,18,7393,8,8,Rent,Bachelor,Widowed,23,147860.0
365,10366,602,0.04709833461910573,169607,20,7,3,18166,8,22,Rent,High School,Divorced,2,54498.0
366,10367,368,0.18976814621076443,33679,68,8,12,4442,7,14,Own,High School,Widowed,25,44420.0
367,10368,566,0.670790723449354,60159,79,8,0,4333,11,9,Own,High School,Widowed,3,12999.0
368,10369,388,0.695752755764874,38135,24,9,5,16190,12,0,Mortgage,Masters,Widowed,11,145710.0
369,10370,823,0.6795955089566378,88531,43,0,6,6930,8,1,Rent,High School,Widowed,2,62370.0
370,10371,325,0.02309708292144852,159616,35,0,8,10418,5,2,Rent,High School,Married,1,31254.0
371,10372,544,0.4923780594332299,167232,47,8,5,1498,9,5,Mortgage,High School,Widowed,11,19474.0
372,10373,676,0.7687461088914361,143470,88,6,14,6802,1,4,Rent,Masters,Widowed,29,54416.0
373,10374,302,0.04370449080733185,139650,37,3,4,3110,11,1,Mortgage,High School,Widowed,2,31100.0
374,10375,592,0.34738937479231935,133062,76,9,6,3508,2,12,Own,High School,Widowed,23,73668.0
375,10376,714,0.05062449829481497,173873,66,8,19,15427,3,10,Rent,Masters,Single,6,277686.0
376,10377,723,0.170662140322539,198131,80,9,7,6491,2,7,Own,Masters,Widowed,16,38946.0
377,10378,673,0.669828871557815,199240,38,6,17,8518,18,9,Rent,Masters,Widowed,16,127770.0
378,10379,619,0.5487292934479051,166663,56,1,18,13956,12,8,Rent,Masters,Widowed,20,223296.0
379,10380,521,0.3676882929948928,35688,49,9,18,11774,2,16,Rent,Bachelor,Widowed,13,94192.0
380,10381,618,0.07885357916547375,154275,23,7,3,15374,12,13,Own,High School,Single,11,276732.0
381,10382,457,0.715356507712254,186305,35,8,3,5345,11,11,Own,Masters,Divorced,3,117590.0
382,10383,742,0.053533964736140804,172205,50,5,1,9460,4,14,Own,High School,Single,3,122980.0
383,10384,620,0.5448342068157916,137859,73,8,19,19687,2,5,Rent,Bachelor,Widowed,2,275618.0
384,10385,625,0.14219358344752353,143404,32,1,19,19648,18,29,Rent,High School,Divorced,9,117888.0
385,10386,404,0.10441732059432274,103177,59,5,0,11712,2,21,Mortgage,Masters,Divorced,12,222528.0
386,10387,801,0.01393183748228255,30096,45,8,5,5659,1,5,Own,Bachelor,Widowed,14,50931.0
387,10388,542,0.37668500378392156,126570,53,9,8,5770,3,3,Mortgage,Bachelor,Widowed,17,69240.0
388,10389,701,0.7228064957684504,33199,41,4,0,18482,14,15,Rent,Masters,Widowed,5,92410.0
389,10390,321,0.5652362855875587,175328,69,8,5,2710,2,3,Rent,High School,Widowed,3,54200.0
390,10391,685,0.08245503731790138,144717,74,2,10,3639,2,6,Rent,Masters,Widowed,12,47307.0
391,10392,613,0.6877086463600056,179610,45,6,3,18121,12,0,Own,Bachelor,Widowed,2,163089.0
392,10393,801,0.44739055162191665,148478,56,6,1,8689,13,19,Mortgage,Masters,Widowed,12,78201.0
393,10394,637,0.22874385310319933,45814,18,9,7,13199,13,20,Rent,Masters,Divorced,19,171587.0
394,10395,520,0.20868086253975626,153385,37,2,17,10059,4,2,Rent,Bachelor,Widowed,8,50295.0
395,10396,612,0.4530717550378198,198549,27,5,6,18512,4,7,Rent,Bachelor,Widowed,23,222144.0
396,10397,801,0.43759655483027005,183990,78,2,3,2294,0,9,Mortgage,Masters,Widowed,10,48174.0
397,10398,767,0.10170081450386892,116797,28,1,19,1820,14,13,Own,High School,Widowed,9,16380.0
398,10399,492,0.004915084535843772,176047,88,7,17,15948,17,25,Rent,High School,Widowed,6,95688.0
399,10400,649,0.987810565520883,197456,26,3,14,17798,8,0,Rent,Masters,Married,3,231374.0
400,10401,520,0.18880882769740215,135647,66,9,1,1201,7,22,Mortgage,Masters,Widowed,0,12010.0
401,10402,651,0.32008794870250956,188602,21,0,5,9327,10,1,Own,High School,Widowed,16,46635.0
402,10403,561,0.09966139480761549,110920,47,7,12,6027,7,14,Rent,Bachelor,Widowed,15,24108.0
403,10404,727,0.7326348885542041,134553,36,8,5,18761,1,4,Rent,High School,Widowed,17,412742.0
404,10405,469,0.3803302849548945,199439,76,0,15,12949,11,0,Rent,High School,Widowed,22,51796.0
405,10406,321,0.06936880770610276,149819,59,3,2,15276,2,22,Rent,High School,Widowed,14,229140.0
406,10407,801,0.47662996405926206,52494,54,8,16,4276,10,6,Rent,Masters,Widowed,13,21380.0
407,10408,555,0.30817515688447616,190839,35,0,0,18841,3,2,Rent,Bachelor,Widowed,16,357979.0
408,10409,608,0.325260265579451,158235,39,6,17,12932,7,12,Mortgage,High School,Widowed,26,219844.0
409,10410,794,0.09972939833466776,173812,48,1,14,10940,12,18,Rent,Masters,Divorced,4,196920.0
410,10411,584,0.5880569977396541,192285,83,0,18,10251,11,1,Rent,Masters,Widowed,5,92259.0
411,10412,640,0.40867271422359375,131423,58,7,10,9085,5,8,Mortgage,Masters,Widowed,5,81765.0
412,10413,303,0.8613875998646343,174493,47,6,10,16462,9,3,Rent,Masters,Widowed,8,246930.0
413,10414,530,0.42053414158368774,91911,58,8,3,9600,17,23,Rent,Masters,Widowed,2,76800.0
414,10415,638,0.06418977470890697,167499,36,4,19,15591,10,6,Rent,Masters,Single,28,202683.0
415,10416,414,0.6239517645685398,133942,19,6,6,9588,0,21,Rent,Masters,Widowed,3,57528.0
416,10417,696,0.1962340264032305,175484,24,9,10,11725,18,23,Mortgage,Masters,Widowed,4,257950.0
417,10418,847,0.19221986762148524,93323,48,9,19,19948,13,24,Own,High School,Widowed,7,359064.0
418,10419,808,0.7157447907213077,118001,41,8,16,15502,1,24,Rent,High School,Widowed,15,325542.0
419,10420,511,0.05891207931539266,185898,25,4,7,14730,5,27,Own,High School,Widowed,13,309330.0
420,10421,472,0.1823467604393172,60911,75,7,4,8148,19,5,Rent,High School,Divorced,1,179256.0
421,10422,765,0.7332235699058937,120949,32,0,16,6412,1,5,Rent,Masters,Widowed,8,121828.0
422,10423,835,0.2271956347642936,35396,26,0,2,3164,18,5,Own,High School,Widowed,22,37968.0
423,10424,760,0.26655072923355594,163940,67,9,16,5232,3,7,Rent,Masters,Single,9,62784.0
424,10425,731,0.535352560899012,194077,25,8,10,12225,5,17,Rent,Bachelor,Widowed,2,36675.0
425,10426,429,0.042304759049211826,99273,70,2,12,4142,14,2,Rent,Bachelor,Widowed,18,41420.0
426,10427,467,0.31279470046957036,36962,19,7,6,18994,2,13,Rent,Bachelor,Widowed,23,113964.0
427,10428,584,0.33911642992059454,62435,50,4,17,12443,7,29,Rent,High School,Widowed,1,62215.0
428,10429,838,0.2578750846458929,167276,55,3,14,13566,3,1,Own,PhD,Widowed,19,27132.0
429,10430,370,0.5285050241495974,158018,47,7,0,5802,2,25,Rent,Masters,Widowed,4,116040.0
430,10431,719,0.3442098467842418,65924,34,0,18,7295,10,6,Mortgage,High School,Widowed,17,87540.0
431,10432,612,0.055606543393565855,178092,73,7,17,11066,19,28,Mortgage,High School,Divorced,5,88528.0
432,10433,574,0.8946983304030193,181876,37,8,8,19442,10,15,Mortgage,Masters,Widowed,3,174978.0
433,10434,821,0.5152789463596866,184948,84,4,16,13499,8,11,Rent,Masters,Widowed,4,121491.0
434,10435,510,0.202391557288087,61438,46,8,2,10363,3,6,Rent,High School,Widowed,0,103630.0
435,10436,680,0.14867370199593655,142506,53,2,14,14411,11,14,Mortgage,Masters,Widowed,2,216165.0
436,10437,720,0.1760636648553372,22627,88,9,3,19383,7,19,Rent,High School,Widowed,18,310128.0
437,10438,669,0.39562420473556736,114668,20,3,0,17861,17,26,Rent,Masters,Widowed,9,339359.0
438,10439,442,0.08750828079257933,134982,72,9,4,12696,2,24,Mortgage,High School,Widowed,2,126960.0
439,10440,511,0.4080208932562498,52939,55,1,13,16954,8,10,Rent,High School,Widowed,8,288218.0
440,10441,428,0.07578366090809796,58773,40,7,16,9367,17,13,Rent,High School,Widowed,25,121771.0
441,10442,817,0.2555713286728738,90656,37,7,8,2929,6,5,Own,High School,Widowed,16,41006.0
442,10443,622,0.8214571809649666,183137,79,9,0,16624,6,16,Rent,PhD,Widowed,9,265984.0
443,10444,849,0.5704998247776613,83898,61,9,0,4220,6,20,Mortgage,High School,Widowed,11,84400.0
444,10445,635,0.16199794126981149,26160,67,2,19,18756,7,1,Mortgage,High School,Widowed,13,93780.0
445,10446,428,0.1860139320045956,28742,81,1,9,3099,6,14,Rent,Bachelor,Widowed,12,52683.0
446,10447,640,0.39572495147680053,188916,32,8,8,18580,16,24,Mortgage,High School,Divorced,0,241540.0
447,10448,786,0.9708317078714482,152925,30,7,11,15435,8,11,Own,High School,Widowed,5,154350.0
448,10449,533,0.4467076006471048,183013,46,4,7,8546,0,7,Own,Masters,Widowed,22,17092.0
449,10450,513,0.3392267913471234,143070,36,8,14,12355,2,29,Mortgage,Masters,Widowed,2,61775.0
450,10451,752,0.3706306140108935,173141,58,1,17,4485,4,3,Own,High School,Widowed,10,71760.0
451,10452,613,0.0748846351459066,38485,65,8,4,14241,10,26,Mortgage,High School,Divorced,8,142410.0
452,10453,762,0.2729592222611551,153774,51,7,13,19480,19,2,Rent,Bachelor,Widowed,2,77920.0
453,10454,312,0.045966420233030325,172088,36,5,7,15298,8,25,Own,High School,Widowed,7,45894.0
454,10455,330,0.14519337086833162,75579,47,9,7,10278,15,0,Rent,Bachelor,Widowed,19,41112.0
455,10456,829,0.9076652635821691,106044,39,2,0,10788,1,5,Mortgage,Bachelor,Widowed,3,53940.0
456,10457,789,0.3182993533668209,183353,65,8,15,14905,12,21,Rent,Masters,Widowed,18,163955.0
457,10458,692,0.3258314670592346,147584,59,5,3,4945,7,13,Rent,Bachelor,Widowed,9,29670.0
458,10459,623,0.15995916659058584,182712,88,3,3,14016,3,13,Rent,High School,Widowed,8,112128.0
459,10460,462,0.1042593793269222,79930,61,9,7,11404,1,16,Mortgage,High School,Divorced,10,34212.0
460,10461,501,0.5017199407682497,160401,23,7,4,7646,0,2,Rent,Masters,Widowed,0,152920.0
461,10462,517,0.376120864029865,140610,66,8,8,1824,3,11,Rent,Masters,Widowed,17,29184.0
462,10463,430,0.03663049224499004,81557,33,6,10,17974,19,20,Rent,PhD,Widowed,28,233662.0
463,10464,314,0.12565632768956259,187985,72,8,7,8357,19,0,Rent,Masters,Widowed,14,58499.0
464,10465,814,0.391696261467287,24142,79,9,18,12964,12,3,Mortgage,PhD,Widowed,28,64820.0
465,10466,775,0.1682651069617942,165508,55,2,16,5515,13,6,Rent,High School,Widowed,16,66180.0
466,10467,544,0.30756760409015615,90183,21,5,0,6655,5,0,Rent,Bachelor,Widowed,19,59895.0
467,10468,645,0.07836558808544014,165933,31,0,2,12246,3,29,Rent,Masters,Widowed,28,97968.0
468,10469,696,0.9580919372268837,184263,40,6,7,16973,6,0,Mortgage,Masters,Widowed,2,135784.0
469,10470,414,0.6054892077909041,78667,19,7,6,14933,7,26,Rent,Masters,Divorced,12,209062.0
470,10471,486,0.42357942711466723,147431,41,5,0,19849,0,3,Rent,Masters,Widowed,15,218339.0
471,10472,847,0.419592782867402,116297,39,2,10,9046,18,2,Rent,High School,Widowed,13,117598.0
472,10473,474,0.5504136143312379,41810,83,9,5,3696,3,12,Mortgage,Masters,Divorced,2,40656.0
473,10474,625,0.043511517798364374,199961,37,6,16,11121,3,20,Rent,High School,Widowed,26,200178.0
474,10475,745,0.3645371073133077,171966,30,7,7,1119,7,15,Rent,PhD,Widowed,16,15666.0
475,10476,387,0.3435455705716628,41722,65,7,2,13363,12,13,Own,High School,Widowed,15,40089.0
476,10477,630,0.37614924826723695,179064,68,4,7,16972,15,7,Rent,PhD,Widowed,13,186692.0
477,10478,340,0.12145934282313597,60358,20,8,7,14226,3,23,Mortgage,PhD,Widowed,5,113808.0
478,10479,822,0.2232215364283806,27231,18,5,16,1580,19,7,Mortgage,Masters,Widowed,27,23700.0
479,10480,592,0.02901483402074323,153738,27,8,19,17464,1,12,Mortgage,Masters,Divorced,16,227032.0
480,10481,670,0.052263349407848825,195919,23,1,1,4717,14,11,Rent,Masters,Widowed,12,94340.0
481,10482,456,0.44771198897985554,142230,57,6,11,5093,13,0,Rent,PhD,Widowed,9,40744.0
482,10483,755,0.35422758439962443,91415,35,8,11,1028,7,7,Mortgage,High School,Widowed,2,3084.0
483,10484,608,0.30760533701916326,187117,75,4,5,5751,0,22,Rent,PhD,Widowed,15,86265.0
484,10485,799,0.32996282569660385,133611,39,4,0,17374,18,0,Mortgage,PhD,Widowed,18,225862.0
485,10486,763,0.8567479263761084,73811,35,5,8,2519,6,3,Mortgage,High School,Widowed,6,40304.0
486,10487,575,0.452241748992396,192713,69,9,2,2165,9,14,Rent,PhD,Widowed,1,34640.0
487,10488,615,0.2644375407043089,98089,43,8,18,16781,9,20,Rent,High School,Widowed,17,302058.0
488,10489,810,0.28227305884022114,183055,39,6,1,13323,9,26,Rent,Bachelor,Widowed,9,186522.0
489,10490,709,0.4031293630201568,53502,19,6,1,3981,10,6,Rent,Masters,Widowed,13,27867.0
490,10491,649,0.6610336724687379,25165,48,1,0,19885,2,7,Rent,Masters,Widowed,26,318160.0
491,10492,780,0.807178881407125,129076,54,3,0,8165,6,13,Mortgage,PhD,Widowed,3,32660.0
492,10493,347,0.5801545784362885,98123,46,0,2,14597,4,9,Own,Masters,Widowed,1,175164.0
493,10494,607,0.45301776765862145,92500,25,1,12,3858,2,8,Mortgage,Masters,Widowed,27,73302.0
494,10495,768,0.3809735185352767,49098,62,9,2,18593,17,9,Mortgage,Masters,Widowed,1,334674.0
495,10496,843,0.799434513340952,73289,27,2,3,7782,6,24,Mortgage,High School,Widowed,14,163422.0
496,10497,601,0.05238736333254912,145658,20,2,11,15440,16,0,Own,PhD,Widowed,25,185280.0
497,10498,823,0.9427052632296807,189487,78,5,0,10108,7,4,Own,High School,Widowed,19,30324.0
498,10499,523,0.6441241182917177,36313,88,5,5,11522,6,3,Rent,Masters,Widowed,0,207396.0
499,10500,344,0.04583315741760441,141480,54,1,13,17097,5,6,Rent,PhD,Widowed,2,324843.0
500,10501,805,0.30880850063080023,102312,52,8,2,19183,6,19,Rent,Masters,Widowed,8,95915.0
501,10502,378,0.09496333287900516,46164,44,8,2,15078,9,10,Mortgage,High School,Widowed,23,60312.0
502,10503,613,0.17046449392800478,109993,56,8,7,15674,14,26,Mortgage,PhD,Widowed,8,282132.0
503,10504,328,0.018439206511718154,57687,18,5,12,15821,1,7,Rent,Masters,Married,1,268957.0
504,10505,483,0.367783522662556,105987,54,7,5,9723,2,8,Mortgage,Bachelor,Widowed,0,38892.0
505,10506,738,0.9423344712801478,171796,20,4,4,16230,7,15,Mortgage,Masters,Divorced,6,146070.0
506,10507,395,0.08464032368794083,186695,28,8,10,13528,9,2,Mortgage,High School,Widowed,23,135280.0
507,10508,628,0.42669610775538425,51882,60,5,11,13701,18,8,Rent,High School,Widowed,18,150711.0
508,10509,848,0.080624164261346,43360,51,1,4,11753,9,7,Mortgage,Masters,Widowed,7,105777.0
509,10510,785,0.7145127606062892,36844,35,6,1,12047,2,5,Mortgage,Masters,Married,1,96376.0
510,10511,452,0.16088318445383354,196720,53,1,11,5424,6,6,Rent,Masters,Single,1,92208.0
511,10512,701,0.24129795345214433,165954,34,7,10,9220,4,11,Rent,Masters,Single,16,193620.0
512,10513,633,0.08602867657820312,163403,50,5,7,12492,12,10,Own,High School,Widowed,14,62460.0
513,10514,643,0.063198229218418,189524,52,4,4,19212,8,12,Rent,High School,Widowed,16,211332.0
514,10515,642,0.04093560044504074,138830,89,3,2,10149,7,3,Rent,High School,Single,7,162384.0
515,10516,666,0.7424561960169651,100445,43,2,0,7156,7,15,Rent,Masters,Widowed,11,71560.0
516,10517,476,0.33949124495454586,163232,56,8,4,14849,2,1,Own,Masters,Married,10,148490.0
517,10518,508,0.07492172342740333,77249,43,6,8,12700,5,24,Rent,High School,Widowed,26,177800.0
518,10519,400,0.7341341798508386,80454,41,5,8,7539,0,5,Own,Masters,Widowed,14,150780.0
519,10520,394,0.9984248043708425,198561,53,7,3,5111,9,0,Rent,Masters,Widowed,19,45999.0
520,10521,346,0.5699676778494611,140858,42,2,10,18564,8,0,Rent,Masters,Widowed,2,259896.0
521,10522,512,0.5385383751378383,190159,29,7,4,18974,9,11,Own,Masters,Single,4,284610.0
522,10523,638,0.023957848534730264,150754,47,6,5,9509,18,9,Rent,PhD,Widowed,18,85581.0
523,10524,482,0.0029833085295419837,188934,27,0,3,18186,11,10,Mortgage,High School,Widowed,8,36372.0
524,10525,828,0.4005391270726717,72599,47,8,4,9229,9,24,Rent,Masters,Widowed,23,55374.0
525,10526,559,0.5811592951550808,50475,32,4,7,5716,10,13,Mortgage,High School,Widowed,11,45728.0
526,10527,830,0.005921006955088126,138881,69,9,7,16661,16,0,Rent,Masters,Widowed,7,299898.0
527,10528,841,0.9142335248220712,195700,47,6,0,9029,19,13,Rent,PhD,Widowed,12,171551.0
528,10529,748,0.6566794486081912,106575,52,9,16,9168,1,17,Rent,High School,Widowed,6,82512.0
529,10530,438,0.4300923511624034,95260,48,7,5,11358,8,10,Mortgage,Masters,Widowed,20,90864.0
